id;french;usa;v-bouldering;8a_nu
1;1;5.0;VB;0
2;2;5.1;VB;0
3;2;5.2;VB;0
4;3;5.3;VB;0
5;4a;5.4;V0;50
6;4b;5.5;V0;100
7;4c;5.6;V0+;150
8;5a;5.7;V1;200
9;5b;5.8;V1;250
10;5c;5.9;V2;300
11;6a;5.10a;V3;350
12;6a+;5.10b;V3;400
13;6b;5.10c;V4;450
14;6b+;5.10d;V4;500
15;6c;5.11a;V5;550
16;6c+;5.11b;V5;600
17;6c+;5.11c;V5;650
18;7a;5.11d;V6;700
19;7a+;5.12a;V7;750
20;7b;5.12b;V8;800
21;7b+;5.12c;V8;850
22;7c;5.12d;V9;900
23;7c+;5.13a;V10;950
24;8a;5.13b;V11;1000
25;8a+;5.13c;V12;1050
26;8b;5.13d;V13;1100
27;8b+;5.14a;V14;1150
28;8c;5.14b;V15;1200
